"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.35740690645808e-43,-0.557530052735258,0.466,0.785,1.0322521594016e-38,"Cyto_3","TNFRSF1B"
3.57869542912527e-41,-0.704126641842762,0.69,0.861,5.8107277682707e-37,"Cyto_3","CCL5"
9.20011999561774e-36,-1.02707525594442,0.992,0.936,1.49382348368845e-31,"Cyto_3","CXCL9"
4.16511428314378e-35,-1.28129642265192,0.637,0.804,6.76289606154056e-31,"Cyto_3","CCL19"
3.57137040838848e-31,-0.81586887666743,0.03,0.31,5.79883413210038e-27,"Cyto_3","CXCL10"
1.13515382726003e-30,-0.526477982442507,0.305,0.605,1.84314926932211e-26,"Cyto_3","TNF"
5.97940378068065e-30,-0.444598785815301,0.305,0.618,9.70875791869117e-26,"Cyto_3","IL21R"
2.4692696563901e-29,-0.511075898647445,0.458,0.715,4.00935314108061e-25,"Cyto_3","IL2RB"
2.70067672459888e-29,-0.484321805185098,0.312,0.617,4.3850887977312e-25,"Cyto_3","IL10RA"
5.90460793413729e-29,-0.471004123695548,0.363,0.647,9.58731190265872e-25,"Cyto_3","IL16"
3.87318402753657e-21,-0.361256378858244,0.375,0.622,6.28888890551112e-17,"Cyto_3","TNFAIP8"
6.63401293069892e-20,-0.346136533412523,0.232,0.477,1.07716467955758e-15,"Cyto_3","TNFRSF4"
5.04588554884599e-19,-0.320229228366724,0.824,0.942,8.19300436566123e-15,"Cyto_3","ILF3"
1.95181643700792e-18,-0.312200250309762,0.3,0.539,3.16916434876977e-14,"Cyto_3","CXCR3"
4.54871821183934e-18,-0.301501943810221,0.31,0.553,7.38575376056354e-14,"Cyto_3","IL27RA"
6.68685612485374e-18,-0.318846079970146,0.277,0.511,1.0857448289925e-13,"Cyto_3","TNFSF13B"
4.08731590558775e-17,-0.398417714313828,0.403,0.619,6.63657483590283e-13,"Cyto_3","TNFRSF6B"
3.40420851958089e-16,-0.261917951263722,0.164,0.379,5.52741337324349e-12,"Cyto_3","IL17RA"
5.18623506207046e-16,-0.600850075413314,0.33,0.507,8.42088987028381e-12,"Cyto_3","CXCL11"
1.97334521304061e-15,-0.276635353094823,0.292,0.516,3.20412062241404e-11,"Cyto_3","IFNAR2"
5.27405474685751e-15,-0.286479383113645,0.66,0.837,8.56348269247255e-11,"Cyto_3","TNFSF10"
6.23912829044161e-15,-0.309997554706801,0.217,0.42,1.013047260519e-10,"Cyto_3","IL18BP"
6.25505375469678e-14,-0.26584891533553,0.199,0.395,1.01563307815012e-09,"Cyto_3","TNFSF14"
2.08266807591388e-12,-0.298076854505005,0.844,0.897,3.38162815486137e-08,"Cyto_3","TNFAIP2"
2.4537341252679e-11,-0.256817187943947,0.332,0.513,3.98412809919749e-07,"Cyto_3","TNFSF13"
7.03143583748606e-11,-0.340344894777841,0.645,0.762,1.14169423693261e-06,"Cyto_3","IL4I1"
1.60138604332028e-98,1.34012549024037,1,0.881,2.60017051853914e-94,"Cyto_4","CXCL14"
2.17523723774674e-78,0.815789251002164,0.464,0.081,3.53193270292938e-74,"Cyto_4","CCL14"
2.1660357022731e-74,-1.58185822950439,0.758,0.971,3.51699216978083e-70,"Cyto_4","CXCL9"
