"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.98375710555877e-53,0.432380562500062,0.997,0.989,3.22102641229578e-49,"1","MYH9"
5.97853690780756e-53,0.649462208388357,0.828,0.606,9.70735037720713e-49,"1","DENND2D"
8.58841429353261e-53,0.504697643407497,0.891,0.715,1.39450082884089e-48,"1","OGT"
2.85390273107232e-52,0.572281363539115,0.942,0.852,4.63388186444212e-48,"1","EVL"
4.62389362293479e-52,0.334583786582364,1,1,7.50781607555923e-48,"1","PABPC1"
4.78653041953247e-52,0.52944313985215,0.762,0.504,7.77188944219487e-48,"1","TRAF3IP3"
5.07310405502573e-52,0.468925393683354,0.81,0.515,8.23719905414528e-48,"1","FOXP1"
9.01338663605669e-52,0.47210506226318,0.707,0.401,1.46350358809653e-47,"1","FLI1"
1.59505911292954e-51,0.495630685660092,0.896,0.714,2.5898974816637e-47,"1","SEPTIN9"
1.66665609344286e-51,0.526045248974481,0.912,0.748,2.70614949892317e-47,"1","SLFN5"
1.71515661951933e-51,0.552124403022177,0.808,0.539,2.78489980311353e-47,"1","LAT"
2.02744050008365e-51,0.507144889116755,0.581,0.259,3.29195513998582e-47,"1","ID3"
3.63347728583895e-51,0.482133368043601,0.906,0.746,5.89967706901671e-47,"1","DEF6"
5.49306488539627e-51,0.464757070563483,0.604,0.285,8.91908945441793e-47,"1","LY9"
5.80354227466677e-51,0.488881901105003,0.806,0.56,9.42321159137644e-47,"1","FGD3"
2.47788749275878e-50,0.661097813713553,0.906,0.773,4.02334592199243e-46,"1","TRBC2"
4.33782737493486e-50,0.438124148135049,0.99,0.966,7.04333030868174e-46,"1","SRRM2"
6.46657459369517e-50,0.35122403704645,0.358,0.1,1.04997771677828e-45,"1","RBP5"
9.9320605007417e-50,0.538902272772252,0.925,0.787,1.61266866350543e-45,"1","ARHGAP9"
1.09005754952409e-49,0.733309213087743,0.694,0.409,1.76992644316227e-45,"1","SELENOP"
2.05393401762517e-49,0.507238464277539,0.849,0.664,3.33497266441799e-45,"1","SEPTIN6"
2.20476545914588e-49,0.453228423474025,0.851,0.619,3.57987767601517e-45,"1","MDM4"
2.90469893883899e-49,0.667857219524717,0.805,0.545,4.71635966699287e-45,"1","HSPG2"
2.99380110022545e-49,0.468432812056781,0.851,0.592,4.86103484643606e-45,"1","PILRB"
6.93063786626359e-49,0.49992818706052,0.77,0.508,1.12532767034522e-44,"1","CD96"
1.08258404838172e-48,0.452324796359502,0.924,0.729,1.7577917193574e-44,"1","ESYT2"
1.65633160044197e-48,0.367549087236737,0.44,0.156,2.68938561963763e-44,"1","SCML4"
2.57197812410397e-48,0.601533768650662,0.886,0.775,4.17612088010761e-44,"1","SEPTIN1"
