"gene","corr_estimate","pvalue"
"IFNG",0.146609370450087,1.22347043562524e-97
"DGKA",0.146093661343702,5.84839894882015e-97
"EOMES",0.145952988664974,8.95242116379688e-97
"NRP2",0.145787951627897,1.47446068656615e-96
"DMXL2",0.14578368672871,1.49358385336075e-96
"ACOT7",0.145778245000355,1.51834342786118e-96
"EID1",0.145524587596923,3.26513547900113e-96
"RUNX1",0.145161787580961,9.73794130407165e-96
"PDPN",0.144851426060941,2.47436591043118e-95
"CARD16",0.144812315426979,2.78250720109986e-95
"HCFC1",0.144637400385453,4.7013859188041e-95
"PET100",0.144524063445542,6.60192457387065e-95
"FOXP3",0.144297021271392,1.30220129702526e-94
"SRSF1",0.144215521843768,1.6613345974618e-94
"MRFAP1L1",0.144150999735813,2.01445264881478e-94
"SNRPD1",0.144014658209033,3.02618456846695e-94
"C1S",0.144010529212485,3.06369189511082e-94
"ZFAND5",0.143893265368459,4.34620160852616e-94
"STAT5A",0.14374426895379,6.77462664704871e-94
"PLEKHG2",0.143625061568728,9.65983770996913e-94
"PDCD1LG2",0.143446729792705,1.64145663168034e-93
"PSMA1",0.143388588856202,1.95090472683613e-93
"IKBKE",0.143353235197539,2.1668547669426e-93
"SERPINB1",0.14329818600488,2.55152964899187e-93
"GPRIN3",0.143287184176694,2.63621644812151e-93
"SUSD6",0.143041106114718,5.4683997159333e-93
"KLRG1",0.142897907131946,8.35603411169614e-93
"PLEKHB2",0.142816938389984,1.06177742283371e-92
"LRRC15",0.142771425679835,1.21474182491659e-92
"ANKRD13D",0.142728978235789,1.3771474850522e-92
"ABI1",0.14262863384189,1.85242891522851e-92
"OSCAR",0.142615155951583,1.92765414774671e-92
"YWHAG",0.142574566275859,2.17310987218165e-92
"COLGALT1",0.142546506888953,2.36078434725546e-92
"UPP1",0.142002312895487,1.17303239520814e-91
"BTN3A2",0.141944513074268,1.39026700761481e-91
"MBP",0.141874498302003,1.70780603215534e-91
"IRF2",0.141819421437292,2.00763929394708e-91
"CCND3",0.141714429499991,2.73223555134e-91
"HIST1H4H",0.141692957698335,2.90988239381933e-91
"SIRPB2",0.14152071249125,4.82145648991141e-91
"SPCS3",0.141393749833427,6.99278770556755e-91
"MMP3",0.141285793045901,9.59030724363424e-91
"BCAT1",0.141130837060215,1.50850770012866e-90
"RNF166",0.140583032837691,7.45053017072667e-90
"IL10RA",0.140455569757639,1.07940062569409e-89
"DDIT4",0.140002808397153,4.01635611903776e-89
"PILRA",0.140000744210152,4.04044777900067e-89
"HIST1H3G",0.139993866387036,4.12176572796137e-89
"LPCAT1",0.139966640671616,4.46000032095374e-89
"PCED1A",0.139609087143886,1.25463937223916e-88
"GPR65",0.139469567806453,1.87702693327159e-88
"ZC3H18",0.139380442269337,2.42736775183306e-88
"CARMIL2",0.139378786798362,2.43898434710823e-88
"SLC39A14",0.139329731557303,2.80955726163885e-88
"UBA52",0.139209610954873,3.97157808181941e-88
"ANP32A",0.138931857275134,8.83171423019118e-88
"NUCB1",0.138844772268878,1.13427686327505e-87
"BAX",0.138792346794231,1.31858233559447e-87
"WDR82",0.138639440952163,2.04491224881129e-87
"TCF25",0.13779669620656,2.27559576434293e-86
"SPPL2A",0.137782597206199,2.36889324767197e-86
"PGK1",0.137463876485869,5.8686022692826e-86
"TES",0.137231983913337,1.1339606713477e-85
"HIST1H3H",0.137003291073613,2.16882937322572e-85
"GRK6",0.136948086586381,2.53591746326988e-85
"P2RX7",0.136801744888693,3.83725226711132e-85
"SNX3",0.13667972331483,5.41825045707435e-85
"HSD11B1",0.136662340696697,5.69105989685582e-85
"TRIM21",0.13665420355947,5.82343303661734e-85
"FAM50A",0.136548607382303,7.84714125539184e-85
"UBE2Z",0.1365275969684,8.32668476495549e-85
"TRAJ10",0.136473656506275,9.69592447304655e-85
"MFSD12",0.136430987008402,1.09363377406272e-84
"DPYD",0.136355280684213,1.35391963023123e-84
"SH3KBP1",0.136345724300975,1.39089146960604e-84
"BAZ1B",0.136330909868996,1.45020574294818e-84
"HEXB",0.136313127066673,1.52474528587774e-84
"TMEM50A",0.136247988442492,1.83192434241285e-84
"PNRC1",0.135935690989171,4.41082681071806e-84
"TLN1",0.135875669767258,5.22106951745442e-84
"RBM17",0.135834946016581,5.8537295212533e-84
"ST8SIA4",0.135741397338281,7.61169393520718e-84
"PPP1R16B",0.135725223878393,7.96509131224961e-84
"ZNF276",0.135577622246056,1.20489812728633e-83
"GABARAPL2",0.135278393784227,2.78453182876211e-83
"C4orf3",0.13521888666146,3.2885317376589e-83
"DNMT1",0.13514265898178,4.06916243473037e-83
"ARHGAP31",0.13495687624383,6.83484461633811e-83
"HNRNPU",0.134919822297757,7.5789797865725e-83
"CCNDBP1",0.134879744344673,8.4750331881261e-83
"CLU",0.134657086979748,1.57575182905593e-82
"JAK2",0.134570913008139,2.00266546808599e-82
"TRAJ13",0.134204023787057,5.54800277407426e-82
"INPP4A",0.13408158144313,7.7901321066218e-82
"COPZ1",0.133838350713331,1.52741967947129e-81
"GK",0.133634738139335,2.68115435217439e-81
"TRAJ22",0.13354323994094,3.45149691918059e-81
"SERPING1",0.133466855947712,4.26103728274867e-81
"PRKCD",0.133363733293019,5.66200724318428e-81
"BRD2",0.133261241328058,7.50884277097008e-81
"ABCC1",0.133198612969799,8.92159026024167e-81
"H1FX",0.133056593057877,1.31851789605278e-80
"MX2",0.132941550697394,1.80870687546678e-80
"TREM1",0.132924674812835,1.89450694016749e-80
"IFI44",0.13269712176502,3.5370691651521e-80
"CD14",0.132296305487948,1.05945779191033e-79
"ALOX5",0.132106862100128,1.77727043519645e-79
"P2RY13",0.131959595982279,2.65567111480606e-79
"IL18BP",0.131814016129669,3.94821637435143e-79
"AIP",0.131682884119488,5.64115008388719e-79
"TMC6",0.131605257042622,6.9667379986309e-79
"CD2",0.131565360159054,7.7645796474395e-79
"APBB1IP",0.131383590542855,1.27193902328392e-78
"PRSS23",0.13128605763604,1.65712144263407e-78
"LACTB",0.131211767582436,2.02677125671089e-78
"SLA2",0.131097429862065,2.76247029999607e-78
"HMGN4",0.13092222095029,4.4376980988985e-78
"MAP2K2",0.130883873367485,4.92239097424806e-78
"CRIP1",0.13067086343574,8.7497006167339e-78
"C5AR1",0.130587115080473,1.09672617855111e-77
"LMNB1",0.130529177174595,1.28212484568449e-77
"LIMK1",0.13048345488985,1.45023653953034e-77
"PIP4K2A",0.130451585726756,1.58024248565016e-77
"DDX46",0.13033849361515,2.14268669674345e-77
"PRXL2B",0.130334170984826,2.1677572305244e-77
"LEPROTL1",0.130223195625964,2.92180620131192e-77
"MSR1",0.130202932456454,3.08539276176498e-77
"HIST1H2AB",0.130154626900058,3.51314606245383e-77
"BID",0.1300647764843,4.47217593098451e-77
"CD276",0.130047370678819,4.68615337470462e-77
"RAB5IF",0.129930999862715,6.4039724751515e-77
"APOL6",0.129782575663499,9.5336711705191e-77
"ZNF683",0.129756130998521,1.02336001530042e-76
"SF3B2",0.129270261130652,3.75136089759776e-76
"TRAJ31",0.129258921481704,3.86660421522132e-76
"SFT2D2",0.129131342521511,5.43365460538113e-76
"PSMA2",0.129103998418193,5.8444348788077e-76
"ZDHHC20",0.128991173245537,7.89338947985841e-76
"POMP",0.128895096107091,1.01933565757582e-75
"JAML",0.128870439026425,1.08843910804373e-75
"CD86",0.12880495392567,1.29548819982039e-75
"TSPAN32",0.128751941975485,1.4915179809612e-75
"PPP1CA",0.128595237593518,2.26136590336295e-75
"ARL6IP4",0.128438422257243,3.4277939006585e-75
"TYK2",0.128422869817179,3.57205413024954e-75
"ARHGAP17",0.128227499013595,5.99281811745969e-75
"KLF6",0.128001738376396,1.08858007243637e-74
"ISCU",0.127986818592204,1.13233639037482e-74
"PSMB2",0.127963006792619,1.20583168703766e-74
"PTPN22",0.127869309455112,1.54419905815638e-74
"SP100",0.12763270679885,2.88130867284443e-74
"NAMPT",0.127532542641509,3.75070169705538e-74
"TRAFD1",0.127514454697019,3.93353973255761e-74
"SNX17",0.127449472622066,4.66681539767197e-74
"GPR171",0.127350840524319,6.04819847625848e-74
"CCL22",0.127333797777738,6.32519870816465e-74
"MESD",0.1271799836294,9.47276020011592e-74
"PCNA",0.127125416833629,1.09307413365313e-73
"ZBTB7A",0.126978623209974,1.60608820609392e-73
"EXOSC6",0.126839595067514,2.3113495348068e-73
"VPS13C",0.126649922306277,3.79547182407939e-73
